category_name,total_revenue,total_gross_profit,total_adjusted_profit,avg_loss_rate
Aquatic Tuberous Vegetables,350089.9007,107858.02883000001,97220.89390366,8.91125905843436
Cabbage,375751.705,130902.66755,117045.559549472,10.664638442878596
Capsicum,754133.0167,279524.60448,256148.147165652,7.755571212907941
Edible Mushroom,619597.7942,225759.48936,205393.095265457,8.884176144019834
Flower/Leaf Vegetables,1079069.8016000001,430228.11298000003,377124.515571204,12.733681348804703
Solanum,191124.2586,69379.37836,64864.225116381,6.411989175464385
